order_id,item_id,product_id,quantity,list_price,discount,OrderItems_Id
1,1,20,1,599.99,0.2,11
1,2,8,2,1799.99,0.07,12
1,3,10,2,1549,0.05,13
1,4,16,2,599.99,0.05,14
1,5,4,1,2899.99,0.2,15
2,1,20,1,599.99,0.07,21
2,2,16,2,599.99,0.05,22
3,1,3,1,999.99,0.05,31
3,2,20,1,599.99,0.05,32
4,1,2,2,749.99,0.1,41
5,1,10,2,1549,0.05,51
5,2,17,1,429,0.07,52
5,3,26,1,599.99,0.07,53
6,1,18,1,449,0.07,61
6,2,12,2,549.99,0.05,62
6,3,20,1,599.99,0.1,63
6,4,3,2,999.99,0.07,64
6,5,9,2,2999.99,0.07,65
7,1,15,1,529.99,0.07,71
7,2,3,1,999.99,0.1,72
7,3,17,2,429,0.1,73
8,1,22,1,269.99,0.05,81
8,2,20,2,599.99,0.07,82
9,1,7,2,3999.99,0.1,91
10,1,14,1,269.99,0.1,101
11,1,8,1,1799.99,0.05,111
11,2,22,2,269.99,0.1,112
11,3,16,2,599.99,0.2,113
12,1,4,2,2899.99,0.1,121
12,2,11,1,1680.99,0.05,122
13,1,13,1,269.99,0.1,131
13,2,17,2,429,0.05,132
13,3,20,2,599.99,0.1,133
13,4,16,2,599.99,0.05,134
14,1,6,1,469.99,0.07,141
15,1,12,2,549.99,0.07,151
15,2,8,1,1799.99,0.07,152
15,3,18,2,449,0.05,153
15,4,23,2,299.99,0.2,154
16,1,8,1,1799.99,0.2,161
16,2,21,1,269.99,0.05,162
16,3,13,2,269.99,0.07,163
16,4,14,1,269.99,0.07,164
17,1,8,1,1799.99,0.07,171
17,2,23,1,299.99,0.1,172
17,3,5,1,1320.99,0.1,173
17,4,20,2,599.99,0.2,174
18,1,2,2,749.99,0.2,181
18,2,22,1,269.99,0.05,182
18,3,7,1,3999.99,0.1,183
18,4,25,2,499.99,0.05,184
18,5,9,2,2999.99,0.1,185
19,1,10,1,1549,0.07,191
19,2,9,2,2999.99,0.2,192
20,1,9,1,2999.99,0.07,201
20,2,10,2,1549,0.07,202
21,1,14,1,269.99,0.05,211
21,2,17,1,429,0.1,212
21,3,10,1,1549,0.07,213
22,1,15,2,529.99,0.2,221
22,2,22,1,269.99,0.05,222
23,1,4,2,2899.99,0.05,231
23,2,23,2,299.99,0.1,232
23,3,13,1,269.99,0.2,233
24,1,3,2,999.99,0.1,241
24,2,18,2,449,0.07,242
25,1,23,2,299.99,0.2,251
25,2,10,2,1549,0.2,252
25,3,22,1,269.99,0.2,253
25,4,14,1,269.99,0.2,254
25,5,21,1,269.99,0.1,255
26,1,7,1,3999.99,0.05,261
26,2,2,1,749.99,0.2,262
26,3,12,1,549.99,0.2,263
26,4,21,2,269.99,0.07,264
27,1,5,1,1320.99,0.2,271
27,2,19,1,449,0.2,272
27,3,26,2,599.99,0.07,273
27,4,8,1,1799.99,0.07,274
28,1,5,1,1320.99,0.05,281
28,2,7,2,3999.99,0.2,282
28,3,14,2,269.99,0.1,283
28,4,6,1,469.99,0.05,284
29,1,24,2,549.99,0.05,291
29,2,6,1,469.99,0.2,292
29,3,21,2,269.99,0.1,293
29,4,8,1,1799.99,0.2,294
29,5,14,2,269.99,0.05,295
30,1,26,1,599.99,0.05,301
30,2,17,1,429,0.07,302
30,3,19,1,449,0.1,303
30,4,4,1,2899.99,0.1,304
30,5,7,2,3999.99,0.1,305
31,1,11,2,1680.99,0.05,311
31,2,9,2,2999.99,0.2,312
32,1,8,2,1799.99,0.07,321
32,2,12,2,549.99,0.07,322
32,3,25,2,499.99,0.1,323
33,1,23,2,299.99,0.07,331
33,2,7,1,3999.99,0.1,332
34,1,8,2,1799.99,0.07,341
34,2,10,2,1549,0.1,342
